0	0.0000001991	0.0000002269	0.0000002222	0.0000018241	0.0000005590	0.0000000972	0.0000000000	0.0000000000	0.0000000000	0.0000000000
86400	0.0000001782	0.0000001354	0.0000003970	0.0000005197	0.0000006991	0.0000019942	0.0000018229	0.0000004560	0.0000019954	0.0000004271
172800	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
259200	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
345600	0.0000000139	0.0000000000	0.0000000000	0.0000000023	0.0000000000	0.0000002674	0.0000000775	0.0000000000	0.0000000104	0.0000000127
432000	0.0000000081	0.0000000000	0.0000000081	0.0000000000	0.0000000023	0.0000002500	0.0000005764	0.0000005046	0.0000001852	0.0000002894
518400	0.0000000000	0.0000000127	0.0000000000	0.0000000093	0.0000000000	0.0000001366	0.0000000116	0.0000000000	0.0000001088	0.0000000046
604800	0.0000000116	0.0000000093	0.0000001296	0.0000009618	0.0000001088	0.0000005891	0.0000008866	0.0000007975	0.0000000000	0.0000000509
691200	0.0000000012	0.0000000069	0.0000000000	0.0000002095	0.0000000000	0.0000004965	0.0000002616	0.0000005162	0.0000001944	0.0000002894
777600	0.0000000000	0.0000000093	0.0000000000	0.0000000162	0.0000000035	0.0000000023	0.0000000000	0.0000000000	0.0000000000	0.0000000000
864000	0.0000002060	0.0000001863	0.0000001817	0.0000002604	0.0000001748	0.0000007141	0.0000007512	0.0000003183	0.0000004028	0.0000003241
950400	0.0000000000	0.0000000486	0.0000001134	0.0000001736	0.0000004410	0.0000011690	0.0000012269	0.0000012083	0.0000007697	0.0000010729
1036800	0.0000000000	0.0000000000	0.0000000035	0.0000000000	0.0000000324	0.0000001956	0.0000002905	0.0000007025	0.0000000093	0.0000000856
1123200	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000544	0.0000004630	0.0000000382	0.0000006933
1209600	0.0000000000	0.0000000000	0.0000000000	0.0000000313	0.0000000000	0.0000000000	0.0000006921	0.0000021273	0.0000000127	0.0000016863
1296000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000035	0.0000000301
